reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp,validation_errors
7,ST-99,,drop,-0.738,-31.1,,invalid station_id | invalid model_name | invalid confidence_score | invalid response_time_ms | invalid timestamp
18,ST-02,demand_forecaster,-1,1.577,,2026-09-09 22:04:02.546,invalid predicted_label | invalid confidence_score | invalid response_time_ms
81,ST-08,unknown_model,normal,1.039,,2026-09-09 22:04:04.288,invalid model_name | invalid confidence_score | invalid response_time_ms
210,ST-03,unknown_model,leak,1.497,,2026-09-09 22:04:07.711,invalid model_name | invalid confidence_score | invalid response_time_ms
281,ST-06,demand_forecaster,invalid_label,-0.028,,2026-09-09 22:04:09.597,invalid predicted_label | invalid confidence_score | invalid response_time_ms
283,ST-10,demand_forecaster,drop,,,2026-09-09 22:04:09.648,invalid predicted_label | invalid confidence_score | invalid response_time_ms
327,ST-08,unknown_model,,-0.854,,2026-09-09 22:04:10.829,invalid model_name | invalid confidence_score | invalid response_time_ms
-938,ST-99,pressure_drop_predictor,-1,,,2026-09-09 22:04:11.213,invalid reading_id | invalid station_id | invalid predicted_label | invalid confidence_score | invalid response_time_ms
383,ST-08,leak_detector,99999,1.111,,2026-09-09 22:04:12.343,invalid predicted_label | invalid confidence_score | invalid response_time_ms
407,ST-07,unknown_model,stable,,-58.4,2026-09-09 22:04:12.961,invalid model_name | invalid confidence_score | invalid response_time_ms
-615,ST-05,pressure_drop_predictor,leak,1.418,,2026-09-09 22:04:14.310,invalid reading_id | invalid predicted_label | invalid confidence_score | invalid response_time_ms
,ST-99,unknown_model,drop,,,2026-09-09 22:04:14.465,invalid reading_id | invalid station_id | invalid model_name | invalid confidence_score | invalid response_time_ms
463,ST-02,,,-0.217,,,invalid model_name | invalid confidence_score | invalid response_time_ms | invalid timestamp
-997,ST-99,demand_forecaster,invalid_label,,,2026-09-09 22:04:15.355,invalid reading_id | invalid station_id | invalid predicted_label | invalid confidence_score | invalid response_time_ms
518,ST-03,demand_forecaster,,,-64.7,,invalid predicted_label | invalid confidence_score | invalid response_time_ms | invalid timestamp
