reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp
1,ST-03,leak_detector,normal,0.818,47.1,2026-09-09 22:04:02.105
2,ST-05,leak_detector,normal,0.953,40.2,2026-09-09 22:04:02.131
3,ST-10,demand_forecaster,4073,0.73,86.1,2026-09-09 22:04:02.156
4,ST-04,demand_forecaster,629,0.667,107.4,2026-09-09 22:04:02.183
5,ST-04,demand_forecaster,1769,0.776,114.8,2026-09-09 22:04:02.210
6,ST-06,leak_detector,normal,0.899,26.0,2026-09-09 22:04:02.235
8,ST-08,demand_forecaster,4785,0.577,98.1,2026-09-09 22:04:02.286
9,ST-09,demand_forecaster,2192,0.699,87.5,2026-09-09 22:04:02.313
10,ST-08,leak_detector,normal,0.828,30.9,2026-09-09 22:04:02.338
11,ST-07,leak_detector,normal,0.934,33.3,2026-09-09 22:04:02.364
12,ST-02,leak_detector,normal,0.81,30.1,2026-09-09 22:04:02.389
13,ST-10,demand_forecaster,2916,0.766,100.6,2026-09-09 22:04:02.415
14,ST-09,leak_detector,normal,0.905,43.5,2026-09-09 22:04:02.443
15,ST-05,pressure_drop_predictor,stable,0.828,49.4,2026-09-09 22:04:02.470
16,ST-06,leak_detector,normal,0.86,28.2,2026-09-09 22:04:02.495
17,ST-02,leak_detector,normal,0.835,30.3,2026-09-09 22:04:02.521
19,ST-07,demand_forecaster,1076,0.666,70.5,2026-09-09 22:04:02.573
20,ST-07,leak_detector,normal,0.812,32.1,2026-09-09 22:04:02.598
21,ST-03,pressure_drop_predictor,drop,0.708,65.6,2026-09-09 22:04:02.624
22,ST-07,leak_detector,normal,0.838,37.4,2026-09-09 22:04:02.651
23,ST-02,pressure_drop_predictor,drop,0.844,42.6,2026-09-09 22:04:02.676
24,ST-10,pressure_drop_predictor,stable,0.69,69.4,2026-09-09 22:04:02.703
25,ST-08,pressure_drop_predictor,stable,0.752,61.0,2026-09-09 22:04:02.729
26,ST-03,leak_detector,normal,0.9,30.3,2026-09-09 22:04:02.755
27,ST-05,demand_forecaster,1560,0.555,83.0,2026-09-09 22:04:02.781
28,ST-06,demand_forecaster,2703,0.712,101.8,2026-09-09 22:04:02.807
29,ST-02,demand_forecaster,1620,0.695,81.3,2026-09-09 22:04:02.832
30,ST-02,pressure_drop_predictor,stable,0.944,55.1,2026-09-09 22:04:02.859
31,ST-09,pressure_drop_predictor,stable,0.732,57.8,2026-09-09 22:04:02.884
32,ST-09,pressure_drop_predictor,stable,0.629,68.7,2026-09-09 22:04:02.911
33,ST-02,pressure_drop_predictor,stable,0.813,45.5,2026-09-09 22:04:02.937
34,ST-07,demand_forecaster,2293,0.69,80.2,2026-09-09 22:04:02.964
35,ST-10,demand_forecaster,2173,0.88,77.2,2026-09-09 22:04:02.989
36,ST-06,demand_forecaster,2012,0.607,76.1,2026-09-09 22:04:03.016
37,ST-10,pressure_drop_predictor,drop,0.796,62.9,2026-09-09 22:04:03.041
38,ST-02,leak_detector,normal,0.87,31.8,2026-09-09 22:04:03.084
39,ST-05,pressure_drop_predictor,drop,0.708,64.7,2026-09-09 22:04:03.153
40,ST-01,leak_detector,normal,0.948,34.3,2026-09-09 22:04:03.211
41,ST-03,leak_detector,normal,0.819,31.9,2026-09-09 22:04:03.240
42,ST-09,pressure_drop_predictor,drop,0.721,55.1,2026-09-09 22:04:03.270
43,ST-07,demand_forecaster,1566,0.675,67.1,2026-09-09 22:04:03.296
44,ST-06,pressure_drop_predictor,stable,0.652,54.6,2026-09-09 22:04:03.323
45,ST-01,pressure_drop_predictor,drop,0.886,61.8,2026-09-09 22:04:03.349
46,ST-04,pressure_drop_predictor,stable,0.789,40.8,2026-09-09 22:04:03.376
47,ST-03,demand_forecaster,4692,0.801,122.6,2026-09-09 22:04:03.402
48,ST-07,demand_forecaster,3141,0.762,95.3,2026-09-09 22:04:03.428
49,ST-07,leak_detector,normal,0.806,48.1,2026-09-09 22:04:03.454
50,ST-07,pressure_drop_predictor,stable,0.869,56.2,2026-09-09 22:04:03.480
51,ST-04,leak_detector,normal,0.794,42.3,2026-09-09 22:04:03.507
52,ST-05,demand_forecaster,4638,0.646,93.7,2026-09-09 22:04:03.533
53,ST-06,pressure_drop_predictor,stable,0.719,65.9,2026-09-09 22:04:03.559
54,ST-03,demand_forecaster,2217,0.622,85.1,2026-09-09 22:04:03.586
55,ST-09,leak_detector,normal,0.884,39.6,2026-09-09 22:04:03.612
56,ST-01,leak_detector,normal,0.939,36.6,2026-09-09 22:04:03.638
